encounter_name,class,spec,hero_cluster,n
Midnight Falls,Hunter,Marksmanship,0,1
Midnight Falls,Mage,Frost,0,1
Midnight Falls,Paladin,Retribution,0,1
Midnight Falls,Rogue,Subtlety,0,1
Midnight Falls,Shaman,Elemental,1,1
Midnight Falls,Warlock,Demonology,0,2
Vaelgor & Ezzorak,Death Knight,Frost,0,3
Vaelgor & Ezzorak,Death Knight,Unholy,0,47
Vaelgor & Ezzorak,Death Knight,Unholy,1,36
Vaelgor & Ezzorak,Demon Hunter,Devourer,0,50
Vaelgor & Ezzorak,Demon Hunter,Devourer,1,49
Vaelgor & Ezzorak,Demon Hunter,Havoc,0,2
Vaelgor & Ezzorak,Demon Hunter,Havoc,1,13
Vaelgor & Ezzorak,Druid,Balance,0,2
Vaelgor & Ezzorak,Druid,Balance,1,95
Vaelgor & Ezzorak,Druid,Feral,0,1
Vaelgor & Ezzorak,Druid,Feral,1,20
Vaelgor & Ezzorak,Evoker,Augmentation,0,91
Vaelgor & Ezzorak,Evoker,Augmentation,1,6
Vaelgor & Ezzorak,Evoker,Devastation,0,25
Vaelgor & Ezzorak,Evoker,Devastation,1,35
Vaelgor & Ezzorak,Hunter,Beast Mastery,0,18
Vaelgor & Ezzorak,Hunter,Beast Mastery,1,78
Vaelgor & Ezzorak,Hunter,Marksmanship,0,76
Vaelgor & Ezzorak,Hunter,Marksmanship,1,19
Vaelgor & Ezzorak,Hunter,Survival,0,39
Vaelgor & Ezzorak,Hunter,Survival,1,7
Vaelgor & Ezzorak,Mage,Fire,0,5
Vaelgor & Ezzorak,Mage,Fire,1,2
Vaelgor & Ezzorak,Mage,Frost,0,86
Vaelgor & Ezzorak,Mage,Frost,1,10
Vaelgor & Ezzorak,Monk,Windwalker,0,53
Vaelgor & Ezzorak,Monk,Windwalker,1,2
Vaelgor & Ezzorak,Paladin,Retribution,0,3
Vaelgor & Ezzorak,Paladin,Retribution,1,92
Vaelgor & Ezzorak,Priest,Shadow,0,67
Vaelgor & Ezzorak,Priest,Shadow,1,26
Vaelgor & Ezzorak,Rogue,Assassination,0,5
Vaelgor & Ezzorak,Rogue,Assassination,1,18
Vaelgor & Ezzorak,Rogue,Outlaw,0,2
Vaelgor & Ezzorak,Rogue,Outlaw,1,14
Vaelgor & Ezzorak,Rogue,Subtlety,0,21
Vaelgor & Ezzorak,Rogue,Subtlety,1,74
Vaelgor & Ezzorak,Shaman,Elemental,0,52
Vaelgor & Ezzorak,Shaman,Elemental,1,44
Vaelgor & Ezzorak,Shaman,Enhancement,0,16
Vaelgor & Ezzorak,Shaman,Enhancement,1,28
Vaelgor & Ezzorak,Warlock,Affliction,0,25
Vaelgor & Ezzorak,Warlock,Affliction,1,1
Vaelgor & Ezzorak,Warlock,Demonology,0,100
Vaelgor & Ezzorak,Warlock,Destruction,0,7
Vaelgor & Ezzorak,Warlock,Destruction,1,25
Vaelgor & Ezzorak,Warrior,Arms,0,7
Vaelgor & Ezzorak,Warrior,Arms,1,51
Vaelgor & Ezzorak,Warrior,Fury,0,61
Vaelgor & Ezzorak,Warrior,Fury,1,22
Vorasius,Death Knight,Frost,0,5
Vorasius,Death Knight,Frost,1,24
Vorasius,Death Knight,Unholy,0,47
Vorasius,Death Knight,Unholy,1,49
Vorasius,Demon Hunter,Devourer,0,51
Vorasius,Demon Hunter,Devourer,1,46
Vorasius,Demon Hunter,Havoc,0,46
Vorasius,Demon Hunter,Havoc,1,6
Vorasius,Druid,Balance,0,79
Vorasius,Druid,Balance,1,17
Vorasius,Druid,Feral,0,52
Vorasius,Druid,Feral,1,1
Vorasius,Evoker,Augmentation,0,20
Vorasius,Evoker,Augmentation,1,78
Vorasius,Evoker,Devastation,0,9
Vorasius,Evoker,Devastation,1,16
Vorasius,Hunter,Beast Mastery,0,99
Vorasius,Hunter,Marksmanship,1,65
Vorasius,Hunter,Survival,0,18
Vorasius,Hunter,Survival,1,80
Vorasius,Mage,Fire,0,5
Vorasius,Mage,Fire,1,3
Vorasius,Mage,Frost,0,82
Vorasius,Mage,Frost,1,18
Vorasius,Monk,Windwalker,0,7
Vorasius,Monk,Windwalker,1,93
Vorasius,Paladin,Retribution,0,97
Vorasius,Paladin,Retribution,1,1
Vorasius,Priest,Shadow,0,64
Vorasius,Priest,Shadow,1,35
Vorasius,Rogue,Assassination,0,57
Vorasius,Rogue,Outlaw,0,27
Vorasius,Rogue,Outlaw,1,1
Vorasius,Rogue,Subtlety,0,78
Vorasius,Rogue,Subtlety,1,21
Vorasius,Shaman,Elemental,0,61
Vorasius,Shaman,Elemental,1,37
Vorasius,Shaman,Enhancement,0,39
Vorasius,Shaman,Enhancement,1,23
Vorasius,Warlock,Affliction,1,18
Vorasius,Warlock,Demonology,0,7
Vorasius,Warlock,Demonology,1,91
Vorasius,Warlock,Destruction,0,39
Vorasius,Warrior,Arms,0,63
Vorasius,Warrior,Fury,0,47
Vorasius,Warrior,Fury,1,23
