pull,fight_id,duration_s,boss_pct,total_damage,dps,crit,haste,mastery,vers,agi,ilvl,trinkets,world_tender,world_tender_count,arcanoweave_items,arcanoweave_count,arcanoweave_proc,embellish_8791_items,embellish_8791_count,food_removed_on_death,augment_removed_on_death,potion_uses,potion_first_s,flask_event,head,shoulder,chest,belt,boots,wrist,back,gear_fingerprint,highest_secondary
21,27,225.5,58.26,31683361,140490.9,1143,651,1267,0,2118,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,12,belt,1,,True,1,76.4,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|193708|249919|249806|249343|239656|249279|0|233290,mastery
22,28,292.6,48.14,40245389,137558.2,1143,651,1267,0,2139,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,19,belt,1,,False,1,74.9,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|193708|249919|249806|249343|239656|249279|0|233290,mastery
23,29,126.6,75.84,18071589,142737.7,1143,651,1267,0,2118,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,4,belt,1,,True,1,74.2,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|193708|249919|249806|249343|239656|249279|0|233290,mastery
24,30,370.4,33.49,49906366,134726.6,932,708,1413,0,2112,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,28,belt,1,,False,1,74.1,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|249369|249919|249806|249343|239656|249279|0|233290,mastery
25,31,249.5,55.26,36126755,144792.6,758,708,1581,0,2118,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,15,belt,1,,True,1,74.6,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|249369|249919|249806|249343|239656|249279|0|233290,mastery
26,32,326.6,43.8,33419756,102337.5,758,708,1581,0,2112,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,11,belt,1,,False,1,75.1,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|249369|249919|249806|249343|239656|249279|0|233290,mastery
27,34,182.9,65.87,28054073,153353.7,758,708,1581,0,2118,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,10,belt,1,,True,1,74.4,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|249369|249919|249806|249343|239656|249279|0|233290,mastery
28,35,31.7,99.71,273951,8652.4,758,708,1581,0,2112,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,2,belt,1,,False,0,,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|249369|249919|249806|249343|239656|249279|0|233290,mastery
29,36,311.2,42.77,44383499,142611.3,758,708,1581,0,2118,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,25,belt,1,,True,1,74.4,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|249369|249919|249806|249343|239656|249279|0|233290,mastery
30,37,363.7,35.56,46557730,128018.0,758,708,1581,0,2112,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,16,belt,1,,False,1,74.3,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|249369|249919|249806|249343|239656|249279|0|233290,mastery
31,38,251.4,54.04,35571400,141506.7,1143,651,1267,0,2112,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,23,belt,1,,False,1,75.2,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|193708|249919|249806|249343|239656|249279|0|233290,mastery
32,39,341.7,40.42,44826148,131171.5,1143,651,1267,0,2112,291,광휘의 꽁지깃+알른 선견자의 응시,,0,belt+back,2,18,belt,1,Well Fed,False,1,75.1,,"Primal Sentry's Maw (249988, 289)","Pauldrons of the Void Hunter (151323, 289)","Primal Sentry's Scaleplate (249991, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)",249988|240950|151323|167223|249991|244581|249987|268287|249304|249989|193708|249919|249806|249343|239656|249279|0|233290,mastery
