boss,enc,dur,dps,bc
아베르지안,3176,228.667,132486.29666721,False
아베르지안,3176,321.762,132481.07607486,True
아베르지안,3176,276.17,132465.24966506,True
아베르지안,3176,196.106,132462.61715603,False
아베르지안,3176,378.622,132460.19248749,True
아베르지안,3176,373.242,132453.89050536,True
아베르지안,3176,346.755,132449.49315799,True
아베르지안,3176,371.646,132442.56362237,True
아베르지안,3176,297.209,132441.99536353,True
아베르지안,3176,299.912,132439.96905759,True
아베르지안,3176,375.4,132425.77250932,True
아베르지안,3176,203.607,132415.89434548,False
아베르지안,3176,283.23,132411.55950994,True
아베르지안,3176,297.411,132411.52479229,True
아베르지안,3176,313.758,132393.66645631,True
아베르지안,3176,265.149,132390.47101818,True
아베르지안,3176,241.543,132376.55821117,True
아베르지안,3176,261.762,132371.1119261,True
아베르지안,3176,259.73,132356.23147114,True
아베르지안,3176,263.656,132345.46530327,True
아베르지안,3176,298.84,132330.66523892,True
아베르지안,3176,269.326,132328.3010181,True
아베르지안,3176,335.073,132325.53801709,True
아베르지안,3176,197.681,132320.157223,False
아베르지안,3176,292.602,132318.80506627,True
아베르지안,3176,221.792,132308.93359544,False
아베르지안,3176,294.289,132300.39518976,True
아베르지안,3176,249.638,132291.69437345,True
아베르지안,3176,276.112,132287.23489019,True
아베르지안,3176,294.657,132287.0388282,True
아베르지안,3176,280.98,132285.33703466,True
아베르지안,3176,279.28,132275.8772558,True
아베르지안,3176,318.554,132268.7205309,True
아베르지안,3176,281.148,132231.4830623,True
아베르지안,3176,229.211,132223.33134099,True
아베르지안,3176,247.042,132220.25809377,True
아베르지안,3176,294.437,132219.92480565,True
아베르지안,3176,213.729,132210.06508242,False
아베르지안,3176,298.791,132199.57763119,True
아베르지안,3176,212.602,132193.44596946,False
아베르지안,3176,343.329,132185.19262864,True
아베르지안,3176,273.402,132176.09600515,True
아베르지안,3176,294.707,132158.02814321,True
아베르지안,3176,215.587,132153.82189093,False
아베르지안,3176,369.058,132152.62099724,True
아베르지안,3176,348.154,132140.80263332,True
아베르지안,3176,300.499,132105.95043578,True
아베르지안,3176,298.799,132088.36374954,True
아베르지안,3176,301.025,132072.75807657,True
아베르지안,3176,213.636,132069.13628789,True
아베르지안,3176,262.486,132067.95410041,True
아베르지안,3176,288.386,132065.84924372,True
아베르지안,3176,228.258,132064.14233017,True
아베르지안,3176,223.773,132058.17055677,True
아베르지안,3176,259.904,132029.7263605,True
살라다르,3179,349.185,156645.48018958,True
살라다르,3179,335.674,153551.52320406,True
살라다르,3179,273.884,152365.78259409,False
살라다르,3179,301.148,151725.06541634,True
살라다르,3179,278.715,151601.51767935,True
살라다르,3179,343.082,150791.05578258,True
살라다르,3179,329.275,149392.87525624,True
살라다르,3179,285.079,148590.61523297,True
살라다르,3179,369.867,148377.96559304,True
살라다르,3179,357.141,147735.96702703,True
살라다르,3179,205.138,147710.83368269,False
살라다르,3179,365.958,147438.60224397,True
살라다르,3179,326.889,146887.15435515,True
살라다르,3179,364.746,146794.53373032,True
살라다르,3179,296.034,146757.88591851,True
살라다르,3179,289.597,146242.10540855,True
살라다르,3179,367.867,146182.76170464,True
살라다르,3179,250.644,145992.79855093,False
살라다르,3179,368.317,145681.76326371,True
살라다르,3179,274.681,145576.51967191,True
살라다르,3179,210.383,145374.00835619,True
살라다르,3179,194.731,144730.74651699,False
살라다르,3179,339.726,144687.17142638,True
살라다르,3179,319.627,144518.37610715,True
살라다르,3179,353.177,144454.00748067,True
살라다르,3179,366.074,144347.67560657,True
살라다르,3179,336.866,144062.19683791,True
살라다르,3179,213.531,144028.20667725,False
살라다르,3179,351.521,143733.22788681,True
살라다르,3179,192.328,143673.43288549,False
살라다르,3179,330.16,143508.38078507,True
살라다르,3179,340.99,143472.05783161,True
살라다르,3179,326.531,143443.36372351,True
살라다르,3179,328.468,143375.79307573,True
살라다르,3179,369.177,143371.19051295,True
살라다르,3179,201.855,143114.91417106,False
살라다르,3179,296.924,143039.26930797,True
살라다르,3179,360.951,142957.41804289,True
살라다르,3179,327.647,142782.39080474,True
살라다르,3179,363.6,142751.52640264,True
살라다르,3179,221.161,142693.39078771,False
살라다르,3179,206.426,142654.83514674,False
살라다르,3179,218.386,142560.91965602,False
살라다르,3179,306.16,142554.18408675,False
살라다르,3179,279.581,142423.19041709,True
살라다르,3179,333.861,142346.28483111,False
살라다르,3179,369.248,142290.6799766,True
살라다르,3179,205.507,142160.65632801,False
살라다르,3179,266.307,142117.98037603,True
살라다르,3179,203.656,142114.4331618,False
살라다르,3179,218.606,142044.16621685,False
살라다르,3179,199.433,141870.16692323,False
살라다르,3179,348.51,141833.22716708,True
살라다르,3179,211.0,141736.64454976,True
살라다르,3179,334.463,141724.40299824,True
살라다르,3179,200.675,141676.13305095,False
살라다르,3179,368.448,141643.05139396,True
살라다르,3179,353.856,141592.37655996,True
살라다르,3179,238.255,141401.00732409,False
살라다르,3179,331.267,141390.57618175,True
