rank,character,guild,server,region,dps,ilvl,duration_s,crit,haste,mastery,vers,report_id,fight_id,source_id,world_tender_count,world_tender_2p,world_tender_slots,world_tender_names,arcanoweave_bonus_count,arcanoweave_bonus_slots,arcanoweave_bonus_names,arcanoweave_source,arcanoweave_source_events,arcanoweave_self_events,arcanoweave_received_events,embellished_8791_count,embellished_8791_slots,embellished_8791_names,crafted_8960_count,crafted_8960_names,tier_count,tier_slots,tier_chest,tier_shoulder,chest_item,shoulder_item,belt_item,boots_item,wrist_item,back_item,ring1_item,ring2_item,strategy,gear_ids
94,Zyraní,NonSense,Eredar,EU,154396.89852813,290.0,536.326,574,822,1304,52,typ8hAJ3DV9Zrfwk,40,21,2,True,belt;boots,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",0,,,False,0,0,33,0,,,2,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","World Tender's Barkclasp (244611, 285)","World Tender's Rootslippers (244610, 285)","Fallen King's Cuffs (249304, 289)","Draconic Nullcape (249370, 289)","Eye of Midnight (249920, 289)","Bond of Light (249369, 289)",world_tender_2p,249988;250247;249318;52019;249991;244611;249987;244610;249304;249989;249920;249369;193701;249343;249370;249279;69210
96,肆箭灬,,埃德萨拉,CN,154364.12548133,290.0,566.14,1065,575,1158,52,fGtNrVp8PFkRw7Wx,109,1521,2,True,belt;boots,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",0,,,False,0,0,21,0,,,2,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","World Tender's Barkclasp (244611, 285)","World Tender's Rootslippers (244610, 285)","Fallen King's Cuffs (249304, 289)","Draconic Nullcape (249370, 289)","Bond of Light (249369, 289)","Sin'dorei Band of Hope (249919, 289)",world_tender_2p,249988;249337;249318;249991;244611;249987;244610;249304;249989;249369;249919;249806;193701;249370;249279
97,怎么始终牵挂,iuiuiuiui,凤凰之神,CN,154350.77509579,290.0,573.413,800,788,1465,0,hmzGca3vTPkRpLgw,53,686,0,False,,,2,boots;back,"Farstrider's Razor Talons (244577, 285);Adherent's Silken Shroud (239656, 285)",True,75,34,57,0,,,2,"Farstrider's Razor Talons (244577, 285);Adherent's Silken Shroud (239656, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","Primal Sentry's Cinch (249985, 289)","Farstrider's Razor Talons (244577, 285)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)","Sin'dorei Band of Hope (249919, 289)","Eye of Midnight (249920, 289)",arcanoweave_2x,249988;250247;249318;249991;249985;249987;244577;249304;249989;249919;249920;249343;249806;239656;251174
98,花落故溪,,血色十字军,CN,154283.21628466,290.0,554.043,603,653,1693,0,9WXmfyLz1wTvxbAn,16,315,0,False,,,1,back,"Adherent's Silken Shroud (239656, 285)",True,53,26,55,1,back,"Adherent's Silken Shroud (239656, 285)",1,"Adherent's Silken Shroud (239656, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","Scornbane Waistguard (249371, 289)","Primal Sentry's Swiftsteps (249990, 289)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)","Masterwork Sin'dorei Band (240949, 285)","Bond of Light (249369, 289)",arcanoweave_1x_or_mixed,249988;250247;249318;249991;249371;249987;249990;249304;249989;240949;249369;249806;249343;239656;249279
99,오징어회무침,위드,아즈샤라,KR,154225.78103371,291.0,563.484,1063,754,864,52,nRQ7Bp2VdfMNHAhx,27,9,2,True,belt;boots,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",0,,,False,0,0,21,0,,,2,"World Tender's Barkclasp (244611, 285);World Tender's Rootslippers (244610, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","World Tender's Barkclasp (244611, 285)","World Tender's Rootslippers (244610, 285)","Fallen King's Cuffs (249304, 289)","Defiant Defender's Drape (260312, 289)","Occlusion of Void (251217, 289)","Omission of Light (251093, 289)",world_tender_2p,249988;249337;249318;44694;249991;244611;249987;244610;249304;249989;251217;251093;249343;193701;260312;249279;160545
100,咚咚哒小红手,,血色十字军,CN,154220.00675904,291.0,562.21,1068,546,1180,0,KCxvkbjmhAZGVqTP,125,1100,0,False,,,2,belt;back,"Farstrider's Trophy Belt (244581, 285);Adherent's Silken Shroud (239656, 285)",True,57,27,57,2,belt;back,"Farstrider's Trophy Belt (244581, 285);Adherent's Silken Shroud (239656, 285)",2,"Farstrider's Trophy Belt (244581, 285);Adherent's Silken Shroud (239656, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Scaled Commencement Spaulders (193704, 289)","Farstrider's Trophy Belt (244581, 285)","Primal Sentry's Swiftsteps (249990, 289)","Fallen King's Cuffs (249304, 289)","Adherent's Silken Shroud (239656, 285)","Sporecaller's Blooming Loop (268290, 298)","Platinum Star Band (193708, 289)",arcanoweave_2x,249988;250247;193704;89195;249991;244581;249987;249990;249304;249989;268290;193708;249343;193701;239656;249288;69210
101,笙歌會停,iuiuiuiui,凤凰之神,CN,154212.17523271,291.0,577.221,655,761,1613,0,TfC28zXQnkbVDdt9,11,18,0,False,,,1,belt,"Farstrider's Trophy Belt (244581, 285)",True,65,32,49,0,,,2,"Farstrider's Trophy Belt (244581, 285);P.O.W. x3 (268477, 295)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Pauldrons of the Void Hunter (151323, 289)","Farstrider's Trophy Belt (244581, 285)","Grudgefiend Stompers (268287, 298)","Darkfang Scale Wristguards (151321, 289)","Rigid Scale Greatcloak (258575, 289)","Eye of Midnight (249920, 289)","Platinum Star Band (193708, 289)",arcanoweave_1x_or_mixed,249988;250247;151323;249991;244581;249987;268287;151321;249989;249920;193708;249806;249343;258575;268477
103,山杏花满庭,,黑翼之巢,CN,154135.49168439,290.0,555.702,711,752,1592,0,3kjrcGQRJLNBWf6p,104,906,0,False,,,1,back,"Adherent's Silken Shroud (239656, 285)",True,62,31,71,1,back,"Adherent's Silken Shroud (239656, 285)",1,"Adherent's Silken Shroud (239656, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Scaled Commencement Spaulders (193704, 276)","Scornbane Waistguard (249371, 289)","Primal Sentry's Swiftsteps (249990, 289)","Darkfang Scale Wristguards (151321, 289)","Adherent's Silken Shroud (239656, 285)","Bond of Light (249369, 289)","Eye of Midnight (249920, 289)",arcanoweave_1x_or_mixed,249988;250247;193704;249991;249371;249987;249990;151321;249989;249369;249920;249806;249343;239656;249288
105,绝二十四,,丽丽（四川）,CN,154117.14260269,290.0,572.661,1221,693,1091,16,4hdrGXAKQCMYkzFR,100,843,0,False,,,2,wrist;back,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",True,53,26,44,3,shoulder;wrist;back,"Farstrider's Brilliant Plumes (244580, 285);Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",2,"Farstrider's Plated Bracers (244584, 285);Adherent's Silken Shroud (239656, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Farstrider's Brilliant Plumes (244580, 285)","Primal Sentry's Cinch (249985, 289)","Darkstrider Treads (249377, 289)","Farstrider's Plated Bracers (244584, 285)","Adherent's Silken Shroud (239656, 285)","Sin'dorei Band of Hope (249919, 289)","Bond of Light (249369, 289)",arcanoweave_2x,249988;249337;244580;249991;249985;249987;249377;244584;249989;249919;249369;249343;249806;239656;249279
106,媽玛,,凤凰之神,CN,154096.08285122,290.0,573.172,1033,493,1496,16,MGPqyWdY8tzZmpKR,495,5783,0,False,,,2,belt;wrist,"Farstrider's Trophy Belt (244581, 285);Farstrider's Plated Bracers (244584, 285)",True,71,37,67,1,wrist,"Farstrider's Plated Bracers (244584, 285)",2,"Farstrider's Trophy Belt (244581, 285);Farstrider's Plated Bracers (244584, 285)",4,head;chest;legs;hands,True,False,"Primal Sentry's Scaleplate (249991, 289)","Nullwalker's Dread Epaulettes (249318, 289)","Farstrider's Trophy Belt (244581, 285)","Primal Sentry's Swiftsteps (249990, 289)","Farstrider's Plated Bracers (244584, 285)","Draconic Nullcape (249370, 289)","Sin'dorei Band of Hope (249919, 289)","Bond of Light (249369, 289)",arcanoweave_2x,249988;250247;249318;249991;244581;249987;249990;244584;249989;249919;249369;249343;249806;249370;249288
